datadate,ksm_in_usd,kar_in_usd,bnc_in_usd
2021-07-23,176.271399498215,4.0723499870663,
2021-07-24,176.697158784005,4.18468574502022,
2021-07-25,186.081638432643,4.06961817323856,
2021-07-26,185.389875243683,4.01911057046084,
2021-07-27,184.359663000328,3.99108488850164,
2021-07-28,184.948719464211,4.0431393257796,
2021-07-29,187.214846070739,4.1368254706513,
2021-07-30,190.392297890499,5.31840731184402,
2021-07-31,194.956902238589,6.36556416431437,
2021-08-01,199.600017392758,6.1110227995937,
2021-08-02,206.020341485365,7.66821279006782,
2021-08-03,206.596748333392,7.43237863696824,
2021-08-04,202.517141760174,7.3062963043671,
2021-08-05,215.096883902249,8.35964321420131,
2021-08-06,215.525535597729,8.23893897347354,
2021-08-07,228.375642198916,7.46825249387333,
2021-08-08,234.05237325633,7.13067195506497,
2021-08-09,215.352793554117,6.98936834389222,
2021-08-10,220.528452696709,7.03861923229686,
2021-08-11,241.769838248156,7.24030883606382,
2021-08-12,268.634298966046,8.29217824657522,
2021-08-13,260.011222071555,7.99031068744084,
2021-08-14,281.309593159409,9.05078271135206,
2021-08-15,272.577802571533,8.99997183003134,
2021-08-16,272.381634751791,9.25753706541895,
2021-08-17,300.635705832433,8.97558052503087,
2021-08-18,276.92716779973,8.03073517300868,
2021-08-19,286.188485534377,7.93428608274316,
2021-08-20,330.889162491216,8.75193294697284,
2021-08-21,345.513861092077,8.81416139171447,
2021-08-22,329.757812228334,8.32670079367646,
2021-08-23,330.492212826578,7.83459586725108,
2021-08-24,328.770015588472,7.40575434126099,
2021-08-25,299.752628035958,7.67565463704665,
2021-08-26,303.58863689697,7.7015806551282,
2021-08-27,283.009404474792,7.28943913298536,
2021-08-28,305.375904155064,7.67751627673719,
2021-08-29,305.785024181708,7.5396406593314,
2021-08-30,297.160819226158,7.56721056157952,
2021-08-31,299.298975546881,7.30623235971477,
2021-09-01,399.97033633264,8.09354538427746,
2021-09-02,388.705630820117,8.13542212368976,
2021-09-03,403.731143655297,7.83048325378221,
2021-09-04,405.031965019356,7.55166985870864,
2021-09-05,398.877230282253,7.60625261451845,
2021-09-06,401.748927082257,7.56492779334816,
2021-09-07,396.547885012903,7.39417147007695,
2021-09-08,330.801054178481,6.52405892765512,
2021-09-09,341.637248041788,6.38643745738505,
2021-09-10,381.318398720532,7.65744356401932,
2021-09-11,384.665529557583,7.31535903287131,
2021-09-12,418.937697680337,10.2805467620228,
2021-09-13,435.247522291406,11.1797330526762,
2021-09-14,406.446400152182,10.0621730741054,
2021-09-15,418.91721844684,11.9313280677177,
2021-09-16,429.215151189917,12.9123961993453,
2021-09-17,410.508089700463,11.4242486897244,
2021-09-18,390.052264234529,10.3347809561578,
2021-09-19,418.206258608999,11.3329284363789,
2021-09-20,401.756968549633,9.95113462288447,
2021-09-21,331.645479068932,8.19234748568054,
2021-09-22,301.265304603923,7.9663792154188,
2021-09-23,346.258651466339,9.52547356140457,
2021-09-24,355.967284830229,9.88858160361398,
2021-09-25,331.319828913782,9.85831082045837,
2021-09-26,329.111211637283,9.12115642059828,
2021-09-27,323.773707630979,8.33044087058673,
2021-09-28,316.12237141401,7.87050562026224,
2021-09-29,320.262508932725,7.69182270559035,
2021-09-30,322.994429192995,7.48304974401622,
2021-10-01,331.023680009206,7.45175406531722,
2021-10-02,348.581401022192,8.23210144539518,
2021-10-03,354.269348996395,8.3100066607447,
2021-10-04,347.132894994149,8.15310757374467,
2021-10-05,339.446578834112,8.18887819841544,
2021-10-06,338.012688857235,8.26115914944247,
2021-10-07,333.377543023072,8.03621702859652,
2021-10-08,354.27565236874,8.0267241135807,
2021-10-09,343.034454774138,8.3324122329728,
2021-10-10,354.694977218201,8.62805710790086,
2021-10-11,334.947049927488,8.04486366833622,
2021-10-12,330.548559408787,7.96829532251356,
2021-10-13,322.83519155196,7.73758255842299,
2021-10-14,364.420924288025,8.66988785151884,
2021-10-15,349.56723877692,8.03077354244806,
2021-10-16,349.902817614533,8.18968370169312,
2021-10-17,342.015399961036,8.26709564229241,
2021-10-18,350.429473560961,8.1855687798837,
2021-10-19,362.03854383808,8.13499614018124,
2021-10-20,380.186664897467,8.52710840647492,
2021-10-21,378.15766808569,9.05591977835212,5.02607620464186
2021-10-22,369.478446547958,8.59221940141977,5.02607620464186
2021-10-23,375.907028785869,8.44820021235991,4.39395827214709
2021-10-24,383.521475723664,8.26609172371804,3.92269483656773
2021-10-25,399.98154726984,8.24066653119176,3.74708686224821
2021-10-26,403.976773390214,8.54235776797533,4.01424964669568
2021-10-27,390.389908261778,8.11753879743367,3.97568134945276
2021-10-28,357.164096503915,7.60293246685352,3.56291336934871
2021-10-29,364.539318616234,7.6780402495237,3.39912552907581
2021-10-30,366.347504223825,7.56692234195248,3.54325263373126
2021-10-31,370.808551729066,7.20108634830633,3.7635148383579
2021-11-01,369.826563863441,7.56014359665864,3.89237678693005
2021-11-02,409.537727948698,8.00404138670105,3.93268498949213
2021-11-03,443.78182763261,8.2162348546938,4.67116333918588
2021-11-04,455.335718395956,8.10103214377327,5.55029057159845
2021-11-05,440.340930673047,7.55659788535245,5.74430263269656
2021-11-06,452.356826373267,7.52125608635082,5.1555633751231
2021-11-07,446.973989360404,7.26053200099834,5.20762047639948
2021-11-08,510.640661972675,7.62938905639857,5.27391845675096
2021-11-09,482.098946880018,7.27033777947489,5.77312125425673
2021-11-10,452.838188349182,7.19226444904478,5.56795359280025
2021-11-11,429.419418995997,6.67575453866136,5.1991509613768
2021-11-12,442.105058556054,6.92444099366299,5.60916330804449
